id,username,age,category,created_at
1,jordan_1,19,Science,2024-02-02
2,alex_2,20,Arts,2024-03-03
3,sam_3,21,Finance,2024-04-04
4,morgan_4,22,Gaming,2024-05-05
5,morgan_5,23,Education,2024-06-06
6,taylor_6,24,Healthcare,2024-07-07
7,jordan_7,25,Tech,2024-08-08
8,skyler_8,26,Science,2024-09-09
9,jordan_9,27,Arts,2024-10-10
10,avery_10,28,Finance,2024-11-11
11,casey_11,29,Gaming,2024-12-12
12,alex_12,30,Education,2024-01-13
13,alex_13,31,Healthcare,2024-02-14
14,jordan_14,32,Tech,2024-03-15
15,morgan_15,33,Science,2024-04-16
16,morgan_16,34,Arts,2024-05-17
17,skyler_17,35,Finance,2024-06-18
18,avery_18,36,Gaming,2024-07-19
19,alex_19,37,Education,2024-08-20
20,skyler_20,38,Healthcare,2024-09-21
21,morgan_21,39,Tech,2024-10-22
22,skyler_22,40,Science,2024-11-23
23,casey_23,41,Arts,2024-12-24
24,morgan_24,42,Finance,2024-01-25
25,quinn_25,43,Gaming,2024-02-26
26,avery_26,44,Education,2024-03-27
27,sam_27,45,Healthcare,2024-04-28
28,alex_28,46,Tech,2024-05-01
29,taylor_29,47,Science,2024-06-02
30,casey_30,48,Arts,2024-07-03
31,riley_31,49,Finance,2024-08-04
32,sam_32,50,Gaming,2024-09-05
33,taylor_33,51,Education,2024-10-06
34,morgan_34,52,Healthcare,2024-11-07
35,riley_35,53,Tech,2024-12-08
36,jordan_36,54,Science,2024-01-09
37,jordan_37,55,Arts,2024-02-10
38,casey_38,56,Finance,2024-03-11
39,jordan_39,57,Gaming,2024-04-12
40,riley_40,58,Education,2024-05-13
41,riley_41,59,Healthcare,2024-06-14
42,avery_42,60,Tech,2024-07-15
43,sam_43,61,Science,2024-08-16
44,alex_44,62,Arts,2024-09-17
45,quinn_45,63,Finance,2024-10-18
46,skyler_46,64,Gaming,2024-11-19
47,jordan_47,65,Education,2024-12-20
48,casey_48,66,Healthcare,2024-01-21
49,jordan_49,67,Tech,2024-02-22
50,skyler_50,18,Science,2024-03-23
51,sam_51,19,Arts,2024-04-24
52,avery_52,20,Finance,2024-05-25
53,riley_53,21,Gaming,2024-06-26
54,avery_54,22,Education,2024-07-27
55,morgan_55,23,Healthcare,2024-08-28
